key;fare_amount;pickup_datetime;pickup_longitude;pickup_latitude;dropoff_longitude;dropoff_latitude;passenger_count
15/06/2009 17:26;45;2009-06-15 17:26:21 UTC;-73844311;40721319;-7384161;40712278;1
05/01/2010 16:52;169;2010-01-05 16:52:16 UTC;-74016048;40711303;-73979268;40782004;1
18/08/2011 00:35;57;2011-08-18 00:35:00 UTC;-73982738;4076127;-73991242;40750562;2
21/04/2012 04:30;77;2012-04-21 04:30:42 UTC;-7398713;40733143;-73991567;40758092;1
09/03/2010 07:51;53;2010-03-09 07:51:00 UTC;-73968095;40768008;-73956655;40783762;1
06/01/2011 09:50;121;2011-01-06 09:50:45 UTC;-74000964;4073163;-73972892;40758233;1
20/11/2012 20:35;75;2012-11-20 20:35:00 UTC;-73980002;40751662;-73973802;40764842;1
04/01/2012 17:22;165;2012-01-04 17:22:00 UTC;-739513;40774138;-73990095;40751048;1
03/12/2012 13:10;9;2012-12-03 13:10:00 UTC;-74006462;40726713;-73993078;40731628;1
02/09/2009 01:11;89;2009-09-02 01:11:00 UTC;-73980658;40733873;-7399154;40758138;2
08/04/2012 07:30;53;2012-04-08 07:30:50 UTC;-73996335;40737142;-73980721;40733559;1
24/12/2012 11:24;55;2012-12-24 11:24:00 UTC;0;0;0;0;3
06/11/2009 01:04;41;2009-11-06 01:04:03 UTC;-73991601;40744712;-73983081;40744682;2
02/07/2013 19:54;7;2013-07-02 19:54:00 UTC;-7400536;40728867;-74008913;40710907;1
05/04/2011 17:11;77;2011-04-05 17:11:05 UTC;-74001821;40737547;-7399806;40722788;2
23/11/2013 12:57;5;2013-11-23 12:57:00 UTC;0;0;0;0;1
19/02/2014 07:22;125;2014-02-19 07:22:00 UTC;-7398643;40760465;-7398899;40737075;1
22/07/2009 16:08;53;2009-07-22 16:08:00 UTC;-7398106;4073769;-73994177;40728412;1
07/07/2010 14:52;53;2010-07-07 14:52:00 UTC;-73969505;40784843;-73958732;40783357;1
06/12/2014 20:36;4;2014-12-06 20:36:22 UTC;-73979815;40751902;-73979446;40755481;1
07/09/2010 13:18;105;2010-09-07 13:18:00 UTC;-73985382;40747858;-73978377;4076207;1
12/02/2013 12:15;115;2013-02-12 12:15:46 UTC;-73957954;40779252;-7396125;40758787;1
06/08/2009 18:17;45;2009-08-06 18:17:23 UTC;-73991707;40770505;-73985459;40763671;1
06/12/2010 12:29;49;2010-12-06 12:29:00 UTC;-74000632;40747473;-73986672;40740577;1
10/12/2009 15:37;61;2009-12-10 15:37:00 UTC;-73969622;40756973;-73981152;40759712;1
21/06/2011 16:15;73;2011-06-21 16:15:00 UTC;-73991875;40754437;-7397723;40774323;3
07/02/2011 20:01;65;2011-02-07 20:01:00 UTC;0;0;0;0;1
28/06/2011 19:47;45;2011-06-28 19:47:00 UTC;-73988893;4076016;-73986445;40757857;3
04/05/2012 06:11;93;2012-05-04 06:11:20 UTC;-73989258;40690835;-74004133;4072569;1
11/08/2013 00:52;45;2013-08-11 00:52:00 UTC;-7398102;4073776;-73980668;40730497;2
19/02/2014 16:03;55;2014-02-19 16:03:00 UTC;-73976075;40752422;-73981082;40759285;1
21/06/2015 21:46;2254;2015-06-21 21:46:34 UTC;-7,40105E+16;4,07177E+16;-7,39858E+16;4,06604E+16;1
09/01/2009 16:10;319;2009-01-09 16:10:00 UTC;-73873027;40773883;-73984545;40769545;3
07/09/2011 14:05;57;2011-09-07 14:05:00 UTC;-73976162;40744988;-73990002;40738323;2
07/09/2011 23:05;181;2011-09-07 23:05:44 UTC;-73993717;40740785;-73999272;40676617;1
11/01/2015 03:15;58;2015-01-11 03:15:38 UTC;-7,39833E+16;4,07387E+16;-7,39332E+16;4,08472E+16;1
12/03/2015 08:08;45;2015-03-12 08:08:38 UTC;-7,39902E+15;4,07564E+16;-7,39856E+14;4,07628E+14;1
19/01/2012 10:15;53;2012-01-19 10:15:30 UTC;-73995199;4075474;-74005416;40751084;1
24/11/2013 11:42;9;2013-11-24 11:42:00 UTC;-7395774;40773617;-73977087;40758465;6
02/03/2009 20:42;98;2009-03-02 20:42:49 UTC;-73972673;40759186;-73969897;40791367;1
29/03/2011 15:39;81;2011-03-29 15:39:49 UTC;-73984267;40744961;-73981646;40759608;1
15/10/2011 10:55;109;2011-10-15 10:55:24 UTC;-74003899;40725514;-73976484;40765537;2
22/11/2013 08:38;175;2013-11-22 08:38:09 UTC;-7397845;4076292;-74008482;40716502;1
10/06/2009 21:28;121;2009-06-10 21:28:00 UTC;-73988558;407372;-73958688;40780748;1
04/03/2011 18:12;53;2011-03-04 18:12:00 UTC;-73997037;40737095;-73986128;40735043;1
31/08/2011 21:14;69;2011-08-31 21:14:15 UTC;-73971114;40758944;-7397793;40736613;1
01/06/2011 20:30;45;2011-06-01 20:30:00 UTC;-73980822;4074442;-73991093;40748797;1
14/12/2011 07:53;33;2011-12-14 07:53:00 UTC;-73988877;40763577;-73985573;40760262;1
18/07/2012 00:16;33;2012-07-18 00:16:00 UTC;-7398666;40756072;-73989727;40751702;5
29/01/2013 12:26;9;2013-01-29 12:26:00 UTC;-73992253;40742657;-73983597;40755947;1
06/12/2011 09:09;97;2011-12-06 09:09:21 UTC;-73985582;40739765;-73973899;40760426;1
06/10/2012 20:31;55;2012-10-06 20:31:36 UTC;-73952825;40772048;-73952194;40781152;3
23/01/2013 07:01;8;2013-01-23 07:01:38 UTC;-73980298;40783723;-73979628;40763179;1
07/09/2013 03:17;75;2013-09-07 03:17:00 UTC;-73977708;40746212;-73975782;40745055;1
10/11/2013 01:12;255;2013-11-10 01:12:19 UTC;-73974497;40751603;-73934927;40851567;4
04/01/2012 18:07;153;2012-01-04 18:07:29 UTC;-7397151;40755886;-73968067;40801173;1
31/05/2010 18:06;3467;2010-05-31 18:06:00 UTC;-73985427;40758853;-73872907;40774497;1
19/03/2011 21:55;97;2011-03-19 21:55:00 UTC;-73979542;40727498;-73999315;40730088;4
